Date,City,Station_ID,Year,Month,Day,Season,Max_Temp_F,Min_Temp_F,Avg_Temp_F,Max_Temp_C,Min_Temp_C,Avg_Temp_C,Precipitation_in,Precipitation_mm,Snowfall_in,Snowfall_cm,Snow_Depth_in,Avg_Wind_Speed_mph,Avg_Wind_Speed_kmh,Max_Wind_Speed_mph,Fog_Present,Condition
2020-01-09,Los Angeles,USW00023174,2020,1,9,Winter,61,54,57.5,16.11111111111111,12.222222222222221,14.166666666666666,0.0,0.0,0.0,0.0,0.0,7.61,12.2470774,23.9,,Clear
2020-01-09,New York,USW00094728,2020,1,9,Winter,34,23,28.5,1.1111111111111112,-5.0,-1.9444444444444444,0.0,0.0,0.0,0.0,0.0,4.47,7.1937498,17.0,,Freezing
2020-01-10,Chicago,USW00094846,2020,1,10,Winter,50,36,43.0,10.0,2.2222222222222223,6.111111111111111,0.84,21.336,0.0,0.0,0.0,11.41,18.3625694,25.9,    1,Rainy
2020-01-10,Los Angeles,USW00023174,2020,1,10,Winter,66,46,56.0,18.88888888888889,7.777777777777778,13.333333333333334,0.0,0.0,0.0,0.0,0.0,4.92,7.9179528,14.1,,Clear
2020-01-10,New York,USW00094728,2020,1,10,Winter,55,33,44.0,12.777777777777779,0.5555555555555556,6.666666666666667,0.0,0.0,0.0,0.0,0.0,6.26,10.074468399999999,14.1,,Clear
2020-01-11,Chicago,USW00094846,2020,1,11,Winter,37,25,31.0,2.7777777777777777,-3.888888888888889,-0.5555555555555556,0.37,9.398,2.1,5.3340000000000005,0.0,25.05,40.313967,38.9,    1,Snowy
2020-01-11,Los Angeles,USW00023174,2020,1,11,Winter,63,48,55.5,17.22222222222222,8.88888888888889,13.055555555555555,0.0,0.0,0.0,0.0,0.0,5.14,8.2720076,13.0,,Clear
2020-01-11,New York,USW00094728,2020,1,11,Winter,69,51,60.0,20.555555555555557,10.555555555555555,15.555555555555555,0.0,0.0,0.0,0.0,0.0,5.37,8.6421558,15.0,,Clear
2020-01-12,Chicago,USW00094846,2020,1,12,Winter,31,23,27.0,-0.5555555555555556,-5.0,-2.7777777777777777,0.0,0.0,0.0,0.0,2.0,6.49,10.4446166,16.1,    1,Freezing
2020-01-12,Los Angeles,USW00023174,2020,1,12,Winter,63,49,56.0,17.22222222222222,9.444444444444445,13.333333333333334,0.0,0.0,0.0,0.0,0.0,5.59,8.9962106,14.1,,Clear
2020-01-12,New York,USW00094728,2020,1,12,Winter,68,43,55.5,20.0,6.111111111111111,13.055555555555555,0.05,1.27,0.0,0.0,0.0,8.72,14.033444800000002,21.9,    1,Clear
2020-01-13,Chicago,USW00094846,2020,1,13,Winter,33,31,32.0,0.5555555555555556,-0.5555555555555556,0.0,0.0,0.0,0.2,0.508,2.0,8.28,13.3253352,19.9,    1,Freezing
2020-01-13,Los Angeles,USW00023174,2020,1,13,Winter,62,50,56.0,16.666666666666668,10.0,13.333333333333334,0.0,0.0,0.0,0.0,0.0,5.59,8.9962106,13.0,    1,Clear
